甘肃省,0,620000000000
兰州市,620000000000,620100000000
城关区,620100000000,620102000000
七里河区,620100000000,620103000000
西固区,620100000000,620104000000
安宁区,620100000000,620105000000
红古区,620100000000,620111000000
永登县,620100000000,620121000000
皋兰县,620100000000,620122000000
榆中县,620100000000,620123000000
兰州新区,620000000000,620999999999
嘉峪关,620000000000,620200000000
金昌市,620000000000,620300000000
金川区,620300000000,620302000000
永昌县,620300000000,620321000000
白银市,620000000000,620400000000
白银区,620400000000,620402000000
平川区,620400000000,620403000000
靖远县,620400000000,620421000000
会宁县,620400000000,620422000000
景泰县,620400000000,620423000000
天水市,620000000000,620500000000
秦州区,620500000000,620502000000
麦积区,620500000000,620503000000
清水县,620500000000,620521000000
秦安县,620500000000,620522000000
甘谷县,620500000000,620523000000
武山县,620500000000,620524000000
张家川县,620500000000,620525000000
武威市,620000000000,620600000000
凉州区,620600000000,620602000000
民勤县,620600000000,620621000000
古浪县,620600000000,620622000000
天祝藏族自治县,620600000000,620623000000
张掖市,620000000000,620700000000
甘州区,620700000000,620702000000
肃南裕固族自治县,620700000000,620721000000
民乐县,620700000000,620722000000
临泽县,620700000000,620723000000
高台县,620700000000,620724000000
山丹县,620700000000,620725000000
平凉市,620000000000,620800000000
崆峒区,620800000000,620802000000
泾川县,620800000000,620821000000
灵台县,620800000000,620822000000
崇信县,620800000000,620823000000
华亭县,620800000000,620824000000
庄浪县,620800000000,620825000000
静宁县,620800000000,620826000000
酒泉市,620000000000,620900000000
肃州区,620900000000,620902000000
金塔县,620900000000,620921000000
瓜州县,620900000000,620922000000
肃北蒙古族自治县,620900000000,620923000000
阿克塞哈萨克族自治县,620900000000,620924000000
玉门市,620900000000,620981000000
敦煌市,620900000000,620982000000
庆阳市,620000000000,621000000000
西峰区,621000000000,621002000000
庆城县,621000000000,621021000000
环县,621000000000,621022000000
华池县,621000000000,621023000000
合水县,621000000000,621024000000
正宁县,621000000000,621025000000
宁县,621000000000,621026000000
镇原县,621000000000,621027000000
定西市,620000000000,621100000000
安定区,621100000000,621102000000
通渭县,621100000000,621121000000
陇西县,621100000000,621122000000
渭源县,621100000000,621123000000
临洮县,621100000000,621124000000
漳县,621100000000,621125000000
岷县,621100000000,621126000000
陇南市,620000000000,621200000000
武都区,621200000000,621202000000
成县,621200000000,621221000000
文县,621200000000,621222000000
宕昌县,621200000000,621223000000
康县,621200000000,621224000000
西和县,621200000000,621225000000
礼县,621200000000,621226000000
徽县,621200000000,621227000000
两当县,621200000000,621228000000
临夏回族自治州,620000000000,622900000000
临夏市,622900000000,622901000000
临夏县,622900000000,622921000000
康乐县,622900000000,622922000000
永靖县,622900000000,622923000000
广河县,622900000000,622924000000
和政县,622900000000,622925000000
东乡族自治县,622900000000,622926000000
积石山保安族东乡族撒拉族自治县,622900000000,622927000000
甘南藏族自治州,620000000000,623000000000
合作市,623000000000,623001000000
临潭县,623000000000,623021000000
卓尼县,623000000000,623022000000
舟曲县,623000000000,623023000000
迭部县,623000000000,623024000000
玛曲县,623000000000,623025000000
碌曲县,623000000000,623026000000
夏河县,623000000000,623027000000
